time,ARROBS_HEAD_K:0_I:2_J:15,ARROBS_HEAD_K:0_I:2_J:9,ARROBS_HEAD_K:0_I:3_J:8,ARROBS_HEAD_K:0_I:9_J:1,ARROBS_HEAD_K:0_I:13_J:10,ARROBS_HEAD_K:0_I:15_J:16,ARROBS_HEAD_K:0_I:21_J:10,ARROBS_HEAD_K:0_I:22_J:15,ARROBS_HEAD_K:0_I:24_J:4,ARROBS_HEAD_K:0_I:26_J:6,ARROBS_HEAD_K:0_I:29_J:15,ARROBS_HEAD_K:0_I:33_J:7,ARROBS_HEAD_K:0_I:34_J:10
7667.772150000,34.56326474,35.42050882,35.52610695,36.40051136,34.70351200,34.32822351,34.62136314,34.19400427,35.27811912,34.92948787,34.12480303,34.54848648,34.27912085
7767.772150000,34.56326371,35.42050586,35.52610373,36.40050551,34.70351003,34.32822273,34.62136146,34.19400350,35.27811568,34.92948515,34.12480227,34.54848464,34.27911957
7867.772150000,34.56326100,35.42049800,35.52609514,36.40049150,34.70350604,34.32822076,34.62135734,34.19400162,35.27810723,34.92947847,34.12480051,34.54848017,34.27911641
7967.772150000,34.56326009,35.42049528,35.52609221,36.40048612,34.70350488,34.32822003,34.62135580,34.19400092,35.27810406,34.92947597,34.12479981,34.54847848,34.27911522
8067.772150000,34.56325741,35.42048739,35.52608358,36.40047194,34.70350073,34.32821802,34.62135163,34.19399901,35.27809551,34.92946922,34.12479802,34.54847395,34.27911204
8167.772150000,34.56325644,35.42048468,35.52608067,36.40046673,34.70349926,34.32821734,34.62135013,34.19399833,35.27809244,34.92946679,34.12479735,34.54847232,34.27911086
8267.772150000,34.56325404,35.42047759,35.52607290,36.40045392,34.70349596,34.32821552,34.62134637,34.19399660,35.27808472,34.92946069,34.12479573,34.54846823,34.27910800
8367.772150000,34.56325304,35.42047473,35.52606983,36.40044847,34.70349434,34.32821479,34.62134479,34.19399588,35.27808149,34.92945814,34.12479503,34.54846652,34.27910676
8467.772150000,34.56325100,35.42046878,35.52606331,36.40043776,34.70349113,34.32821327,34.62134164,34.19399445,35.27807504,34.92945303,34.12479367,34.54846309,34.27910438
8567.772150000,34.56325001,35.42046587,35.52606018,36.40043223,34.70348983,34.32821254,34.62134004,34.19399371,35.27807175,34.92945044,34.12479296,34.54846135,34.27910311
8667.772150000,34.56324810,35.42046033,35.52605410,36.40042227,34.70348714,34.32821110,34.62133712,34.19399238,35.27806576,34.92944570,34.12479170,34.54845817,34.27910090
8767.772150000,34.56324719,35.42045761,35.52605118,36.40041706,34.70348551,34.32821043,34.62133561,34.19399168,35.27806266,34.92944325,34.12479103,34.54845652,34.27909970
8867.772150000,34.56324506,35.42045158,35.52604457,36.40040626,34.70348252,34.32820888,34.62133244,34.19399024,35.27805616,34.92943811,34.12478967,34.54845308,34.27909731
8967.772150000,34.56324431,35.42044914,35.52604196,36.40040153,34.70348134,34.32820826,34.62133106,34.19398960,35.27805334,34.92943589,34.12478906,34.54845158,34.27909621
9067.772150000,34.56324214,35.42044309,35.52603532,36.40039067,34.70347820,34.32820670,34.62132787,34.19398815,35.27804681,34.92943073,34.12478768,34.54844812,34.27909380
9167.772150000,34.56324144,35.42044076,35.52603283,36.40038616,34.70347696,34.32820612,34.62132656,34.19398755,35.27804412,34.92942860,34.12478710,34.54844668,34.27909276
9267.772150000,34.56323927,35.42043476,35.52602626,36.40037542,34.70347410,34.32820458,34.62132341,34.19398611,35.27803767,34.92942350,34.12478574,34.54844327,34.27909037
9367.772150000,34.56323864,35.42043254,35.52602387,36.40037105,34.70347281,34.32820402,34.62132214,34.19398553,35.27803506,34.92942144,34.12478518,34.54844187,34.27908936
9467.772150000,34.56323645,35.42042661,35.52601738,36.40036050,34.70346978,34.32820250,34.62131905,34.19398412,35.27802872,34.92941643,34.12478384,34.54843852,34.27908702
9567.772150000,34.56323592,35.42042457,35.52601518,36.40035641,34.70346876,34.32820198,34.62131785,34.19398356,35.27802627,34.92941449,34.12478331,34.54843721,34.27908607
9667.772150000,34.56323358,35.42041830,35.52600833,36.40034530,34.70346572,34.32820038,34.62131460,34.19398208,35.27801960,34.92940922,34.12478191,34.54843369,34.27908360
9767.772150000,34.56323316,35.42041651,35.52600640,36.40034160,34.70346459,34.32819991,34.62131351,34.19398158,35.27801738,34.92940746,34.12478143,34.54843249,34.27908274
9867.772150000,34.56323049,35.42040938,35.52599861,36.40032901,34.70346110,34.32819811,34.62130983,34.19397990,35.27800983,34.92940149,34.12477983,34.54842850,34.27907993
9967.772150000,34.56323021,35.42040785,35.52599698,36.40032570,34.70346023,34.32819769,34.62130886,34.19397945,35.27800783,34.92939991,34.12477940,34.54842742,34.27907917
10000.00000000,34.56322770,35.42040115,35.52598966,36.40031394,34.70345687,34.32819600,34.62130538,34.19397786,35.27800073,34.92939430,34.12477789,34.54842366,34.27907651
10031.00000000,34.64067171,35.54564257,35.65422055,36.53894811,34.82090006,34.41733566,34.74041391,34.27421770,35.41266247,35.06064104,34.20465202,34.66966975,34.38883216
10060.00000000,34.76238782,35.75758600,35.87302751,36.78581632,35.01340116,34.55620702,34.93747146,34.40009616,35.64759455,35.28633288,34.32927569,34.87270791,34.56671466
10091.00000000,34.90506598,36.02731765,36.15416649,37.12225980,35.24675918,34.71570440,35.17931828,34.54619068,35.95694123,35.57720255,34.47263000,35.12362248,34.77875823
10121.00000000,35.01849047,36.26480861,36.40453369,37.44545358,35.43908426,34.83842349,35.38233502,34.66055407,36.24032259,35.83654323,34.58385720,35.33635071,34.94992985
10152.00000000,35.07648288,36.42093133,36.57298946,37.69741560,35.54580386,34.89444267,35.50012948,34.71561280,36.44060054,36.00946540,34.63566607,35.46288535,35.03995271
