time,TAILWATER
361.7236960785,0.4880555E+16
361.7236960788,0.4880555E+16
361.7236960790,0.4880555E+16
361.7236960793,0.4880555E+16
361.7236960800,0.4880555E+16
361.7236960802,0.4880555E+16
361.7236960804,0.4880555E+16
361.7236960806,0.4880555E+16
361.7236960812,0.4880555E+16
361.7236960822,0.4880555E+16
361.7236960826,0.4880555E+16
361.7236960835,0.4880555E+16
361.7236960851,0.4880555E+16
361.7236960858,0.4880555E+16
361.7236960872,0.4880555E+16
361.7236960898,0.4880555E+16
361.7236960901,0.4880555E+16
361.7236960905,0.4880555E+16
361.7236960907,0.4880555E+16
361.7236960908,0.4880555E+16
361.7236960910,0.4880555E+16
361.7236960914,0.4880555E+16
361.7236960915,0.4880555E+16
361.7236960918,0.4880555E+16
361.7236960920,0.4880555E+16
361.7236960923,0.4880555E+16
361.7236960925,0.4880555E+16
361.7236960926,0.4880555E+16
361.7236960927,0.4880555E+16
361.7236960929,0.4880555E+16
361.7236960933,0.4880555E+16
361.7236960935,0.4880555E+16
361.7236960936,0.4880555E+16
361.7236960938,0.4880555E+16
361.7236960939,0.4880555E+16
361.7236960941,0.4880555E+16
361.7236960945,0.4880555E+16
361.7236960947,0.4880555E+16
361.7236960948,0.4880555E+16
361.7236960950,0.4880555E+16
361.7236960954,0.4880555E+16
361.7236960955,0.4880555E+16
361.7236960956,0.4880555E+16
361.7236960958,0.4880555E+16
361.7236960959,0.4880555E+16
361.7236960961,0.4880555E+16
361.7236960962,0.4880555E+16
361.7236960963,0.4880555E+16
361.7236960964,0.4880555E+16
361.7236960966,0.4880555E+16
361.7236960967,0.4880555E+16
361.7236960968,0.4880555E+16
361.7236960969,0.4880555E+16
361.7236960970,0.4880555E+16
361.7236960971,0.4880555E+16
361.7236960972,0.4880555E+16
361.7236960973,0.4880555E+16
361.7236960974,0.4880555E+16
361.7236960975,0.4880555E+16
361.7236960976,0.4880555E+16
361.7236960977,0.4880555E+16
361.7236960979,0.4880555E+16
361.7236960980,0.4880555E+16
361.7236960982,0.4880555E+16
361.7236960983,0.4880555E+16
361.7236960984,0.4880555E+16
361.7236960985,0.4880555E+16
361.7236960987,0.4880555E+16
361.7236960991,0.4880555E+16
361.7236960993,0.4880555E+16
361.7236960994,0.4880555E+16
361.7236960996,0.4880555E+16
361.7236961000,0.4880555E+16
361.7236961002,0.4880555E+16
361.7236961003,0.4880555E+16
361.7236961004,0.4880555E+16
361.7236961005,0.4880555E+16
361.7236961006,0.4880555E+16
361.7236961008,0.4880555E+16
361.7236961009,0.4880555E+16
361.7236961010,0.4880555E+16
361.7236961011,0.4880555E+16
361.7236961013,0.4880555E+16
361.7236961014,0.4880555E+16
361.7236961015,0.4880555E+16
361.7236961016,0.4880555E+16
361.7236961017,0.4880555E+16
361.7236961019,0.4880555E+16
361.7236961023,0.4880555E+16
361.7236961031,0.4880555E+16
361.7236961047,0.4880555E+16
361.7236961049,0.4880555E+16
361.7236961050,0.4880555E+16
361.7236961052,0.4880555E+16
361.7236961056,0.4880555E+16
361.7236961058,0.4880555E+16
361.7236961059,0.4880555E+16
361.7236961060,0.4880555E+16
361.7236961061,0.4880555E+16
361.7236961063,0.4880555E+16
361.7236961064,0.4880555E+16
361.7236961066,0.4880555E+16
361.7236961067,0.4880555E+16
361.7236961069,0.4880555E+16
361.7236961073,0.4880555E+16
361.7236961075,0.4880555E+16
361.7236961076,0.4880555E+16
361.7236961077,0.4880555E+16
361.7236961078,0.4880555E+16
361.7236961079,0.4880555E+16
361.7236961080,0.4880555E+16
361.7236961082,0.4880555E+16
361.7236961083,0.4880555E+16
361.7236961085,0.4880555E+16
361.7236961086,0.4880555E+16
361.7236961087,0.4880555E+16
361.7236961088,0.4880555E+16
361.7236961090,0.4880555E+16
361.7236961094,0.4880555E+16
361.7236961096,0.4880555E+16
361.7236961100,0.4880555E+16
361.7236961102,0.4880555E+16
361.7236961106,0.4880555E+16
361.7236961108,0.4880555E+16
361.7236961109,0.4880555E+16
361.7236961110,0.4880555E+16
361.7236961112,0.4880555E+16
361.7236961116,0.4880555E+16
361.7236961118,0.4880555E+16
361.7236961122,0.4880555E+16
361.7236961124,0.4880555E+16
361.7236961125,0.4880555E+16
361.7236961126,0.4880555E+16
361.7236961127,0.4880555E+16
361.7236961129,0.4880555E+16
361.7236961130,0.4880555E+16
361.7236961132,0.4880555E+16
361.7236961136,0.4880555E+16
361.7236961137,0.4880555E+16
361.7236961138,0.4880555E+16
361.7236961139,0.4880555E+16
361.7236961141,0.4880555E+16
361.7236961142,0.4880555E+16
361.7236961144,0.4880555E+16
361.7236961148,0.4880555E+16
361.7236961150,0.4880555E+16
361.7236961154,0.4880555E+16
361.7236961156,0.4880555E+16
361.7236961159,0.4880555E+16
361.7236961161,0.4880555E+16
361.7236961162,0.4880555E+16
361.7236961164,0.4880555E+16
361.7236961165,0.4880555E+16
361.7236961166,0.4880555E+16
361.7236961168,0.4880555E+16
361.7236961172,0.4880555E+16
361.7236961174,0.4880555E+16
361.7236961175,0.4880555E+16
361.7236961176,0.4880555E+16
361.7236961177,0.4880555E+16
361.7236961178,0.4880555E+16
361.7236961179,0.4880555E+16
361.7236961181,0.4880555E+16
361.7236961185,0.4880555E+16
361.7236961186,0.4880555E+16
361.7236961189,0.4880555E+16
361.7236961191,0.4880555E+16
361.7236961192,0.4880555E+16
361.7236961194,0.4880555E+16
361.7236961198,0.4880555E+16
361.7236961200,0.4880555E+16
361.7236961204,0.4880555E+16
361.7236961206,0.4880555E+16
361.7236961207,0.4880555E+16
361.7236961208,0.4880555E+16
361.7236961210,0.4880555E+16
361.7236961214,0.4880555E+16
361.7236961216,0.4880555E+16
361.7236961220,0.4880555E+16
361.7236961222,0.4880555E+16
361.7236961223,0.4880555E+16
361.7236961224,0.4880555E+16
361.7236961226,0.4880555E+16
361.7236961230,0.4880555E+16
361.7236961232,0.4880555E+16
361.7236961233,0.4880555E+16
361.7236961234,0.4880555E+16
361.7236961235,0.4880555E+16
361.7236961236,0.4880555E+16
361.7236961237,0.4880555E+16
361.7236961239,0.4880555E+16
361.7236961240,0.4880555E+16
361.7236961241,0.4880555E+16
361.7236961242,0.4880555E+16
361.7236961243,0.4880555E+16
361.7236961244,0.4880555E+16
361.7236961246,0.4880555E+16
361.7236961250,0.4880555E+16
361.7236961258,0.4880555E+16
