pargpnme,inctyp,derinc,derinclb,forcen,derincmul,dermthd,splitthresh,splitreldiff,splitaction
wel_441,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_560,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_102,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_414,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_597,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_498,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_88,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_696,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_22,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_210,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_643,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_551,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_303,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_630,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_44,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_634,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_454,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_223,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_726,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_77,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_549,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_369,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_29,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_676,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_26,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_250,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_552,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_612,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_565,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_138,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_621,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_217,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_591,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_332,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_463,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_251,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_117,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_40,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_259,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_467,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_84,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_253,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_359,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_213,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_526,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_718,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_711,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_47,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_687,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_305,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_292,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_592,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_350,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
